category_name,product_url,image_link,overview,length,width,features,edge_style,color,shape,material
Steelite Distinction Metro China Dinnerware,https://www.webstaurantstore.com/plate-9-square-white-metro-distinction-2dz/5769001C084.html,https://cdnimg.webstaurantstore.com/images/products/large/830293/2836055.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features softly rounded corners and curved edges | Contemporary design is perfect for casual dining and catered events",9 Inches,9 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Coupe,White,Square,China
Steelite Distinction Koto China Dinnerware,https://www.webstaurantstore.com/steelite-distinction-koto-9-oz-black-mandarin-bowl-case/5769109C248.html,https://cdnimg.webstaurantstore.com/images/products/large/832878/2819595.jpg,"Perfect for serving miso soup, rice sides, or small noodle dishes | Black textured exterior with a crisp white inside offers a bold, modern appeal | Hand-finished iron red glaze creates a rich, organic luster | Durable alumina vitrified china construction ensures lasting performance | Ideal for fine dining restaurants, sushi bars, or upscale catering events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Colored Rim,"Black, Red, White",Round,China
Gravy and Sauce Boats,https://www.webstaurantstore.com/steelite-distinction-spyro-12-oz-white-sauce-boat-case/5769032C967.html,https://cdnimg.webstaurantstore.com/images/products/large/830384/2836181.jpg,"Ideal for serving gravies, sauces, or dressings | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",8 1/4 Inches,4 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Oval,China
Steelite Distinction Float China Dinnerware,https://www.webstaurantstore.com/plate-19-oz-12-lg-7-5-well-white-float-dist-6pk-case/5769001C600.html,https://cdnimg.webstaurantstore.com/images/products/large/832837/2819622.jpg,"Ideal for serving lunch entrees or salads | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a 7 1/2"" well with a 19 oz. capacity | Contemporary shape draws the eye towards the center well",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Wide Rim,White,Round,China
Espresso Cups,https://www.webstaurantstore.com/steelite-distinction-spyro-3-oz-white-embossed-stack-cup-case/5769032C993.html,https://cdnimg.webstaurantstore.com/images/products/large/830441/2836187.jpg,"Ideal for serving espresso or other small, hot beverages | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",3 1/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Stackable",Embossed,White,Round,China
Egg Plates and Egg Cups,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-1-7-8-footless-egg-cup-case/5769001C040.html,https://cdnimg.webstaurantstore.com/images/products/large/821990/2791345.jpg,"Ideal for serving soft or hard-boiled eggs | Classic white design complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Round,China
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/steelite-distinction-contour-9-1-2-white-round-coupe-plate-case/5769001C1139.html,https://cdnimg.webstaurantstore.com/images/products/large/830446/2836213.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Classic white design complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Seamless design offers a touch of modern sophistication | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Coupe,White,Round,China
China Platters and Trays,https://www.webstaurantstore.com/steelite-distinction-spyro-13-x-10-1-4-white-embossed-oval-platter-case/5769032C996.html,https://cdnimg.webstaurantstore.com/images/products/large/830346/2836287.jpg,"Ideal for serving large meat or seafood entrees | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",13 Inches,10 1/4 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Oval,China
China Plates,https://www.webstaurantstore.com/steelite-distinction-willow-7-1-4-white-gourmet-accent-plate-case/5769117C1177.html,https://cdnimg.webstaurantstore.com/images/products/large/832922/2818924.jpg,"Ideal for serving salads, sandwiches, or desserts | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Wide Rim",White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-distinction-willow-8-oz-white-can-cup-case/5769117C1201.html,https://cdnimg.webstaurantstore.com/images/products/large/832930/2818905.jpg,"Ideal for serving coffee, tea, or other hot beverages | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",4 1/2 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-17-5-oz-white-bowl-case/5769117C1210.html,https://cdnimg.webstaurantstore.com/images/products/large/832916/2818899.jpg,"Ideal for serving pasta dishes, salads, or hearty entrees | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Rolled Edge,White,Round,China
Bud Vases and Accent Vases,https://www.webstaurantstore.com/steelite-distinction-spyro-12-oz-white-bud-vase-case/5769032C742.html,https://cdnimg.webstaurantstore.com/images/products/large/830345/2836179.jpg,"Ideal for displaying floral arrangements | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Round,China
Bud Vases and Accent Vases,https://www.webstaurantstore.com/bud-vase-2-x-1-5-x-4-375-wt-monaco-dstnctn-dz-case/5769001C677.html,https://cdnimg.webstaurantstore.com/images/products/large/822064/2791348.jpg,"Ideal for displaying fresh and silk floral arrangements | Classic white design complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume, frequent use | Versatile for upscale dining, casual restaurants, and catered events",2 Inches,1 1/2 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Round,China
Steelite Distinction Bianco China Dinnerware,https://www.webstaurantstore.com/steelite-distinction-bianco-5-oz-white-jug-case/5769102C463.html,https://cdnimg.webstaurantstore.com/images/products/large/830409/2836084.jpg,"Ideal for serving milk, cream, or other sides | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an Art Deco-inspired pattern with a flared embossment | Classic, elegant design is perfect for upscale dining and catered events",4 3/8 Inches,2 1/2 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Oblong,China
Steelite Distinction Bianco China Dinnerware,https://www.webstaurantstore.com/steelite-distinction-bianco-2-3-4-white-salt-shaker-case/5769102C465.html,https://cdnimg.webstaurantstore.com/images/products/large/830305/2836066.jpg,"Ideal for serving salt, seasonings, or garnishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an Art Deco-inspired pattern with a flared embossment | Classic, elegant design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Round,China
Steelite Distinction Bianco China Dinnerware,https://www.webstaurantstore.com/steelite-distinction-bianco-2-3-4-white-pepper-shaker-case/5769102C466.html,https://cdnimg.webstaurantstore.com/images/products/large/830215/2836048.jpg,"Ideal for serving pepper, seasonings, or garnishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an Art Deco-inspired pattern with a flared embossment | Classic, elegant design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,White,Round,China
Uninsulated Beverage Dispenser Parts and Accessories,https://www.webstaurantstore.com/utopia-from-steelite-international-8-1-2-x-6-3-8-black-stainless-steel-beverage-dispenser-stand-ur90135/576UR90135.html,https://cdnimg.webstaurantstore.com/images/products/large/815378/2750514.jpg,"Sleek black stainless steel design for a modern, minimalistic look | Elevates beverage dispensers for stylish, smooth service | Combines style and durability for a refined beverage presentation | Provides sturdy support for beverage dispensers | Perfect for outdoor events, buffets, or hotel lobbies",,,Hand Wash Only,,Black,Round,Stainless Steel
Uninsulated Beverage Dispenser Parts and Accessories,https://www.webstaurantstore.com/utopia-from-steelite-international-8-1-2-x-4-3-4-acacia-wood-beverage-dispenser-stand-ujmp829/576UJMP829.html,https://cdnimg.webstaurantstore.com/images/products/large/815480/2750512.jpg,"Made from acacia wood for a rustic, elegant look | Elevates beverage dispensers for a refined presentation | Adds a natural, charming touch to any beverage display | Provides sturdy support for beverage dispensers | Perfect for outdoor parties, buffets, or hotel lobbies",8 1/2 Inches,,Hand Wash Only,,Brown,Round,Wood
Uninsulated Beverage Dispenser Parts and Accessories,https://www.webstaurantstore.com/utopia-from-steelite-international-6-3-4-x-5-1-2-acacia-wood-beverage-dispenser-stand-ujmp831/576UJMP831.html,https://cdnimg.webstaurantstore.com/images/products/large/817433/2750547.jpg,"Made from acacia wood for a rustic, elegant look | Elevates beverage dispensers for a refined presentation | Adds a natural, charming touch to any beverage display | Provides sturdy support for beverage dispensers | Perfect for outdoor parties, buffets, or hotel lobbies",6 3/4 Inches,,Hand Wash Only,,Brown,Round,Wood
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-17-oz-white-bowl-case/5769117C1212.html,https://cdnimg.webstaurantstore.com/images/products/large/832958/2819243.jpg,"Ideal for serving pasta dishes, salads, or hearty entrees | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Rolled Edge",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-12-oz-white-rim-soup-bowl-case/5769117C1214.html,https://cdnimg.webstaurantstore.com/images/products/large/832963/2818901.jpg,"Ideal for serving soups, chowders, or bisques | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Medium Rim",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-12-oz-white-deep-rim-bowl-case/5769117C1191.html,https://cdnimg.webstaurantstore.com/images/products/large/832895/2818879.jpg,"Ideal for serving soups, stews, or pasta dishes | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Wide Rim",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-white-unhandled-stack-soup-cup-case/5769117C1202.html,https://cdnimg.webstaurantstore.com/images/products/large/832848/2819095.jpg,"Ideal for serving soups, chowders, or bisques | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe, Stackable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-white-gourmet-rim-coupe-bowl-case/5769117C1174.html,https://cdnimg.webstaurantstore.com/images/products/large/832846/2818880.jpg,"Ideal for serving soups, small salads, or desserts | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Coupe, Embossed",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-white-gourmet-deep-coupe-bowl-case/5769117C1175.html,https://cdnimg.webstaurantstore.com/images/products/large/832919/2819652.jpg,"Ideal for serving soups, salads, or pasta dishes | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Coupe, Embossed",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-white-bowl-case/5769117C1215.html,https://cdnimg.webstaurantstore.com/images/products/large/832928/2819245.jpg,"Ideal for serving fruit, small soups, or side dishes | Classic white color offers a crisp, clean look and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Rolled Edge",White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-mist-gourmet-deep-rim-bowl-case/5769114C1176.html,https://cdnimg.webstaurantstore.com/images/products/large/832995/2818835.jpg,"Ideal for serving soups, salads, or pasta dishes | Neutral gray tone adds warmth and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Wide Rim",Gray,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-mist-gourmet-deep-coupe-bowl-case/5769114C1175.html,https://cdnimg.webstaurantstore.com/images/products/large/832950/2819605.jpg,"Ideal for serving soups, salads, or pasta dishes | Neutral gray tone adds warmth and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Coupe, Embossed",Gray,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-azure-gourmet-rim-coupe-bowl-case/5769115C1174.html,https://cdnimg.webstaurantstore.com/images/products/large/832891/2818881.jpg,"Ideal for serving soups, small salads, or desserts | Deep blue color offers a calming touch and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Coupe, Embossed",Blue,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-azure-gourmet-deep-rim-bowl-case/5769115C1176.html,https://cdnimg.webstaurantstore.com/images/products/large/832942/2818929.jpg,"Ideal for serving soups, salads, or pasta dishes | Deep blue color offers a calming touch and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Embossed, Wide Rim",Blue,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-willow-10-oz-azure-gourmet-deep-coupe-bowl-case/5769115C1175.html,https://cdnimg.webstaurantstore.com/images/products/large/832852/2818877.jpg,"Ideal for serving soups, salads, or pasta dishes | Deep blue color offers a calming touch and blends seamlessly with other pieces | Durable alumina vitrified construction ensures long-lasting performance | Elegant interwoven design offers a timeless presentation | Perfect for fine dining and upscale culinary presentations",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Coupe, Embossed",Blue,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-nouveau-17-oz-white-embossed-bowl-case/5769032C977.html,https://cdnimg.webstaurantstore.com/images/products/large/830302/2836136.jpg,"Ideal for serving soups, salads, or pasta dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-nouveau-12-oz-white-embossed-soup-pasta-bowl-case/5769032C989.html,https://cdnimg.webstaurantstore.com/images/products/large/830300/2836185.jpg,"Ideal for serving soups or pasta dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-nouveau-12-oz-white-embossed-bowl-case/5769032C976.html,https://cdnimg.webstaurantstore.com/images/products/large/830442/2836135.jpg,"Ideal for serving soups, salads, or pasta dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-8-5-oz-white-embossed-rim-fruit-bowl-case/5769032C737.html,https://cdnimg.webstaurantstore.com/images/products/large/830394/2836154.jpg,"Ideal for serving fruit, small soups, or side dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-8-oz-white-embossed-sugar-bouillon-cup-case/5769032C988.html,https://cdnimg.webstaurantstore.com/images/products/large/830273/2836047.jpg,"Ideal for serving sugar, soups, or desserts | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",3 1/2 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-4-5-oz-white-embossed-rim-fruit-bowl-case/5769032C738.html,https://cdnimg.webstaurantstore.com/images/products/large/830391/2836155.jpg,"Ideal for serving fruit, small salads, or side dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-4-oz-white-embossed-bowl-case/5769032C746.html,https://cdnimg.webstaurantstore.com/images/products/large/830334/2836279.jpg,"Ideal for serving fresh fruit, small salads, and side sauces | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-16-oz-white-embossed-oatmeal-bowl-case/5769032C736.html,https://cdnimg.webstaurantstore.com/images/products/large/830398/2836049.jpg,"Ideal for serving oatmeal, soups, or salads | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-11-oz-white-embossed-bowl-case/5769032C745.html,https://cdnimg.webstaurantstore.com/images/products/large/830231/2836280.jpg,"Ideal for serving soups, small salads, or desserts | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-10-oz-white-embossed-unhandled-stack-soup-cup-case/5769032C990.html,https://cdnimg.webstaurantstore.com/images/products/large/830337/2836276.jpg,"Ideal for serving soups, chowders, or bisques | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Stackable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-spyro-10-oz-white-embossed-handled-stack-soup-cup-case/5769032C735.html,https://cdnimg.webstaurantstore.com/images/products/large/830456/2836204.jpg,"Ideal for serving soups, chowders, or bisques | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features a delicate, swirling embossment | Versatile design is perfect for upscale dining and catered events",6 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Stackable",Embossed,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-sheer-7-oz-white-bowl-case/5769001C625.html,https://cdnimg.webstaurantstore.com/images/products/large/832833/2818945.jpg,"Perfect for serving appetizers, desserts, or small sides | Smooth, modern design creates a bold tabletop statement | Geometric-inspired form adds a sleek, contemporary aesthetic | Durable alumina vitrified china construction for long-lasting performance | Ideal for fine dining establishments, boutique hotels, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Angled,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-sheer-41-oz-white-bowl-case/5769001C626.html,https://cdnimg.webstaurantstore.com/images/products/large/832905/2818947.jpg,"Perfect for serving large salads, pasta dishes, or shared appetizers | Smooth, modern design creates a bold tabletop statement | Geometric-inspired form adds a sleek, contemporary aesthetic | Durable alumina vitrified china construction for long-lasting performance | Ideal for fine dining establishments, boutique hotels, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Angled,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-sheer-26-oz-white-bowl-case/5769001C620.html,https://cdnimg.webstaurantstore.com/images/products/large/832955/2818941.jpg,"Perfect for serving pasta, salads, or hearty entrees | Smooth, modern design creates a bold tabletop statement | Geometric-inspired form adds a sleek, contemporary aesthetic | Durable alumina vitrified china construction for long-lasting performance | Ideal for fine dining establishments, boutique hotels, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Angled,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-sheer-2-oz-white-bowl-case/5769001C622.html,https://cdnimg.webstaurantstore.com/images/products/large/832951/2818944.jpg,"Perfect for serving sauces, dips, or small condiments | Smooth, modern design creates a bold tabletop statement | Geometric-inspired form adds a sleek, contemporary aesthetic | Durable alumina vitrified china construction for long-lasting performance | Ideal for fine dining establishments, boutique hotels, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Angled,White,Round,China
China Bowls,https://www.webstaurantstore.com/steelite-distinction-sheer-14-oz-white-bowl-case/5769001C621.html,https://cdnimg.webstaurantstore.com/images/products/large/832996/2818942.jpg,"Perfect for serving soups, salads, or side dishes | Smooth, modern design creates a bold tabletop statement | Geometric-inspired form adds a sleek, contemporary aesthetic | Durable alumina vitrified china construction for long-lasting performance | Ideal for fine dining establishments, boutique hotels, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Angled,White,Round,China
China Bowls,https://www.webstaurantstore.com/bowl-8-oz-6-x-3-75-white-organics-dist-6pk-case/5769002C659.html,https://cdnimg.webstaurantstore.com/images/products/large/832949/2819103.jpg,Ideal for serving salad or desserts | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an irregular shape and an eye-catching embossment | Unique design is perfect for both upscale and casual venues,6 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable","Embossed, Natural",White,Oval,China
China Bowls,https://www.webstaurantstore.com/bowl-7-oz-7-x-2-375-low-white-organics-dist-dz-case/5769002C644.html,https://cdnimg.webstaurantstore.com/images/products/large/832910/2818870.jpg,"Ideal for serving desserts or side dishes | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an irregular shape, striking embossment, and eye-catching cut-out | Unique design is perfect for both upscale and casual venues",7 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable","Embossed, Natural",White,Unique,China
China Bowls,https://www.webstaurantstore.com/bowl-6-5-oz-5-x-x-3-tall-white-organics-dist-dz-case/5769002C649.html,https://cdnimg.webstaurantstore.com/images/products/large/832971/2819102.jpg,Ideal for serving side dishes or desserts | White color complements any table setting | Durable alumina vitrified construction ensures long-lasting performance | Features an irregular shape and an eye-catching embossment | Unique design is perfect for both upscale and casual venues,5 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable","Embossed, Natural",White,Oval,China
