product_name,url,image_link,overview,length,width,height,volume,diameter,color,material,ean_code,pattern,barcode,mfr,sku,brand,series,type,capacity,case_pack_size,warranty,sale_price,regular_price,in_stock
Steelite - 4 1/4 In W X 2 In H (10 Oz) Brown Dapple Soup Cup (36 Per Case) - 17140121,https://williamsfoodequipment.com/steelite-4-1-4-in-w-x-2-in-h-10-oz-brown-dapple-soup-cup-36-per-case-17140121/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60220/101075/17140121__05291.1712007388.jpg?c=1,,,,,,,Brown,,,,,17140121,,Steelite International,Dapple,Bowls,10 oz,36,Lifetime Breakage,"$1,766.16",,True
Steelite - 8 In White Organics Plate (24 Per Case) - 9002C647,https://williamsfoodequipment.com/steelite-8-in-white-organics-plate-24-per-case-9002c647/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60195/101045/9002C647__39899.1712007325.jpg?c=1,,,,,,,White,Alumina Vitrified,,,,9002C647,,Steelite International,Organics,Plates,,24,Lifetime Edge Chip,"$1,661.38",,True
Steelite - 13 1/2 In X 10 5/8 In Revolution Blue Revolution Oval Coupe Platter (12 Per Case) - 17770145,https://williamsfoodequipment.com/steelite-13-1-2-in-x-10-5-8-in-revolution-blue-revolution-oval-coupe-platter-12-per-case-17770145/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60296/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,17770145,,Steelite International,Revolution,Plates,,12,Lifetime Edge Chip,"$2,132.65",,True
Steelite - 12 In X 10 7/8 In Craft White Craft Plate (12 Per Case) - 11550520,https://williamsfoodequipment.com/steelite-12-in-x-10-7-8-in-craft-white-craft-plate-12-per-case-11550520/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60310/101184/11550520__68014.1712007598.jpg?c=1,,,,,,,White,Alumina Vitrified,,,,11550520,,Steelite International,Craft,Plates,,12,Lifetime Edge Chip,"$2,229.74",,True
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) White Craft Low Cup (36 Per Case) - 11550152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-white-craft-low-cup-36-per-case-11550152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60270/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11550152,,Steelite International,Craft,Cups,12 oz,36,Lifetime Edge Chip,"$2,008.20",,True
Steelite - 6 In (8 3/4 Oz) White Contour Bowl (36 Per Case) - 9001C097,https://williamsfoodequipment.com/steelite-6-in-8-3-4-oz-white-contour-bowl-36-per-case-9001c097/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60134/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,9001C097,,Steelite International,Contour,Bowls,8 3/4 oz,36,Lifetime Edge Chip,"$1,550.76",,True
Steelite - 10 In X 8 1/8 In Craft Blue Craft Plate (12 Per Case) - 11300521,https://williamsfoodequipment.com/steelite-10-in-x-8-1-8-in-craft-blue-craft-plate-12-per-case-11300521/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60150/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,11300521,,Steelite International,Craft,Plates,,12,Lifetime Edge Chip,"$1,563.76",,True
Steelite - 4 1/4 In X 2 1/4 In (10 Oz) White Willow Soup Cup Unhandled StackIng (36 Per Case) - 9117C1202,https://williamsfoodequipment.com/steelite-4-1-4-in-x-2-1-4-in-10-oz-white-willow-soup-cup-unhandled-stacking-36-per-case-9117c1202/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60230/101092/9117C1202__32208.1712007415.jpg?c=1,,,,,,,White,Alumina Vitrified,,,,9117C1202,,Steelite International,Willow,Bowls,10 oz,36,Lifetime Edge Chip,"$1,827.69",,True
Steelite - 8 In X 2 5/8 In (30 Oz) Brown Essence Bowl (24 Per Case) - 11200596,https://williamsfoodequipment.com/steelite-8-in-x-2-5-8-in-30-oz-brown-essence-bowl-24-per-case-11200596/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60327/main/image-url_zoom.webp,,,,,,,Brown,Alumina Vitrified,,,,11200596,,Steelite International,,Bowls,30 oz,24,Lifetime Edge Chip,"$2,315.22",,True
Steelite - 12 In X 10 1/4 In Revolution Gray Revolution Spice Plate (12 Per Case) - 17750579,https://williamsfoodequipment.com/steelite-12-in-x-10-1-4-in-revolution-gray-revolution-spice-plate-12-per-case-17750579/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60200/main/image-url_zoom.webp,,,,,,,Gray,Alumina Vitrified,,,,17750579,,Steelite International,Revolution,Platters,,12,Lifetime Edge Chip,"$1,669.74",,True
