name,item_sku,model_number,manufacturer,image_link,overview,material,color,pattern,length,width,height,volume_capacity,diameter,country_of_origin,upc_barcode,ean_code,hazmat,oversize,marketplace_uom,product_url
Steelite DCI531UW White 10 ounce Baking Dish - 24 / CS,6119669,DCI531UW,6119669,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,008449531024,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/dish-baking-10-oz-6-12-quot;-x-4-7-8-quot;-white-6119669
Nude P64010 Finesse 13-3/4 ounce DOF Glass - 24 / CS,6119950,P64010,6119950,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Turkey,8693357328938,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/glass-dof-13-3-4-oz-nude-finesse-24-cs-6119950
Diversified Ceramics DCI539BI Black 10 ounce Rectangle Dish - 24 / CS,6120149,DCI539BI,6120149,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"This Black Iron Handled Rectangle Baker is a 10 oz. fully vitrified ceramic dish designed for both style and durability. It features a sleek Black Iron glaze that mimics the look of cast iron while offering the easy maintenance of ceramic. With built-in handles for safe transport and oven and microwave compatibility, it's ideal for serving individual portions in busy kitchens or upscale dining settings.","Ceramic, China",Black,N/A,"7.5 Inches, 7.50 Inches","4.63 Inches, 4.625 Inches",1.75 Inches,10 Ounces,N/A,China,008449539051,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/dish-rectangle-10-oz-w-handles-black-6120149
"Walco WL8012 Art Deco Mirror Finish 5-3/4"" Bouillon Spoon - Dozen",6120302,WL8012,6120302,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/spoon-bouillon-5-3-4-quot;-art-deco-mirror-6120302
"Walco WL8001 Art Deco Mirror Finish 5-7/8"" Teaspoon - Dozen",6120303,WL8001,6120303,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/teaspoon-5-7-8-quot;-art-deco-mirror-finish-6120303
Pasabahce Steelite P42126 18 Oz Pilsner Glass - 24 / CS,6120313,P42126,6120313,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Turkey,8693357117419,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/glass-pilsner-18-oz-pasabahce-draft-6120313
Hall China HL4770BFCA Foundry 8 ounce Soup Crock w/o Lid - 12 / CS,6120315,HL4770BFCA,6120315,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,755442163249,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/crock-soup-8-oz-hall-foundry-w-o-lid-6120315
"Walco WL1805 Bosa Nova 18/0 7-11/16"" Dinner Fork - Dozen",6120331,WL1810,6120331,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/fork-dinner-7-11-16-quot;-18-0-walco-bosa-nva-6120333
Steelite 6214RT008 Maham Saffron 1.75 ounce Bowl - 12 / CS,6120774,6214RT008,6120774,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This beautiful Bowl from the Maham Studio Spice collection is a 12 oz. round dish that blends artisanal charm with professional-grade durability. Featuring a vibrant saffron yellow reactive glaze interior and a rustic terracotta exterior, each bowl offers a unique, handcrafted look. Made from fully vitrified stoneware, it’s oven-, microwave-, and dishwasher-safe—perfect for serving soups, sides, or desserts in stylish hospitality settings.",Porcelain,Yellow,N/A,3 Inches,3 Inches,1.13 Inches,1.75 Ounces,N/A,China,5018461635032,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/bowl-175-oz-3-quot;dia-maham-studio-saffron-6120774
"Varick 5752SX001 Marina 6.5"" Teaspoon - Dozen",6121178,5752SX001,6121178,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"This Teaspoon from the Varick Marina collection is a 6.5-inch piece crafted from durable stainless steel, offering both elegance and resilience for everyday use. Its graceful design features a flared handle with subtle brush strokes and a high-quality mirror finish, making it ideal for upscale dining environments. Perfect for serving coffee, tea, or desserts, this heavy-weight teaspoon combines timeless style with commercial-grade performance.","Steel, Stainless Steel",Silver,Marina,6.5 Inches,1.77 Inches,N/A,N/A,N/A,China,5018461687451,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/teaspoon-65-quot;-18-0-varick-marina-6121178
